depth_m,GTS_age,d13Ccarb,d18Ocarb
129,428.815,2.76,-5.09
129.32,428.825,3.27,-5.11
129.6,428.835,2.8,-4.99
129.9,428.845,3.09,-5.04
130.2,428.856,2.61,-4.82
130.5,428.866,3.21,-5.06
130.8,428.876,,
131.1,428.886,,
131.4,428.896,2.87,-4.84
131.7,428.906,3.36,-4.66
132,428.916,2.42,-4.6
132.3,428.926,2.56,-4.61
132.6,428.936,2.2,-4.33
132.9,428.946,2.16,-4.6
133.2,428.956,1.97,-4.32
133.35,428.967,2.17,-4.02
133.5,428.977,2.04,-4.17
133.8,428.987,1.71,-4.5
134.1,428.997,0.17,-3.59
134.39,429.007,1.88,-3.41
134.7,429.017,1.68,-3.51
135,429.027,2.47,-4.17
135.3,429.037,2.33,-4.56
135.6,429.047,2,-4.46
135.9,429.057,1.4,-4.43
136.2,429.067,2.71,-4.58
136.5,429.078,2.62,-4.33
136.8,429.088,1.14,-4.29
138,429.098,1.06,-3.85
138.3,429.108,0.5,-3.75
138.6,429.118,0.08,-3.06
138.9,429.128,0.6,-3.55
139.2,429.138,0.39,-3.54
139.5,429.148,0.25,-3.31
139.8,429.158,0.27,-3.4
140.1,429.168,0.14,-3.31
140.4,429.178,0.59,-3.83
140.7,429.189,0.39,-3.59
141,429.199,0.32,-3.38
141.3,429.209,0.35,-4.05
141.45,429.219,0.16,-3.65
141.75,429.229,0.25,-3.4
142.05,429.239,0.25,-4.02
142.35,429.249,0.19,-3.54
142.65,429.259,0.12,-3.47
142.95,429.269,0.3,-4.3
143.25,429.279,0.35,-4.9
143.55,429.289,0.31,-4.95
143.85,429.3,0.85,-5.27
144,429.31,0.6,-4.6
144.3,429.32,0.48,-4.56
144.6,429.33,1.48,-4.69
144.9,429.34,0.46,-4.13
145.2,429.35,0.56,-3.8
145.5,429.357,0.53,-4.4
145.8,429.364,0.63,-4.4
146.1,429.371,0.45,-5.06
146.4,429.378,0.16,-4.47
146.7,429.385,0.26,-4.77
147,429.392,0.33,-4.45
147.3,429.399,0.27,-4.75
147.6,429.406,0.25,-4.46
147.9,429.413,0.38,-4.45
148.2,429.42,0.29,-4.55
148.5,429.427,0.2,-4.77
148.8,429.434,0.3,-4.1
149.1,429.441,0.2,-4.27
149.4,429.448,0.31,-4.76
149.7,429.455,0.22,-4.9
150,429.462,0.17,-4.77
150.3,429.469,0.23,-4.32
150.6,429.476,0.15,-5.05
150.9,429.483,0.28,-4.33
151.2,429.49,0.23,-4.44
151.5,429.497,0.34,-4.26
151.8,429.504,0.33,-4.6
152.1,429.51,0.23,-4.94
152.4,429.517,0.24,-5
152.7,429.524,0.24,-4.98
153,429.531,0.34,-4.88
153.3,429.538,0.39,-4.64
153.6,429.545,0.31,-4.65
153.9,429.552,0.25,-5.21
154.2,429.559,0.09,-4.71
154.5,429.566,0.19,-4.79
154.8,429.573,0.19,-4.27
155.1,429.58,0.29,-4.34
155.4,429.587,0.21,-4.59
155.7,429.594,0.24,-4.53
156,429.601,0.17,-4.57
156.3,429.608,0.21,-5.08
156.6,429.615,0.25,-4.66
156.9,429.622,0.27,-4.47
157.2,429.629,0.28,-4.57
157.5,429.636,0.25,-4.75
157.8,429.643,0.08,-4.56
158.1,429.65,,
158.4,429.657,,
158.72,429.664,0.08,-3.96
159,429.671,0.17,-4.25
159.3,429.678,0.12,-4.39
159.6,429.685,0.1,-4.3
159.9,429.692,0.05,-4.54
160.2,429.699,0.17,-4.57
160.5,429.706,0.11,-5.01
160.8,429.713,0.04,-4.77
161.1,429.72,0.17,-4.65
161.4,429.727,,
161.7,429.734,0.07,-4.8
162,429.741,0.13,-4.72
162.3,429.748,0.18,-4.86
162.6,429.755,0.17,-5.09
162.9,429.762,-0.1,-4.42
163.2,429.769,0.06,-4.64
163.5,429.776,-0.1,-4.72
163.8,429.783,0.1,-4.7
164.1,429.79,0.17,-5.02
164.4,429.797,0,-4.83
164.7,429.804,-0.01,-4.44
165,429.811,0.11,-4.95
165.3,429.818,0.19,-4.79
165.6,429.825,0.2,-5.08
165.9,429.831,-0.04,-4.54
166.2,429.838,-0.04,-4.54
166.5,429.845,0.07,-4.29
166.8,429.852,-0.02,-4.54
167.1,429.859,0.13,-4.61
167.4,429.866,-0.07,-5.02
167.7,429.873,0.02,-4.75
168,429.88,-0.01,-4.2
168.3,429.887,-0.03,-5.03
168.6,429.894,0.05,-4.64
168.9,429.901,0,-4.8
169.2,429.908,0.12,-4.96
169.5,429.915,-0.02,-4.38
169.8,429.922,0.03,-4.3
170.1,429.929,0.1,-4.95
170.25,429.936,0.16,-4.64
170.4,429.943,0.07,-4.72
170.55,429.95,0,-4.75
170.7,429.957,0.1,-4.23
170.86,429.964,-0.15,-4.95
171,429.971,-0.17,-4.73
171.15,429.978,0.01,-4.64
171.3,429.985,0.17,-4.45
171.45,429.992,0.05,-4.83
